"race_no","going","rating","winning_odds","actual_weight","on_date_weight","draw","race_class","distance","course","race_location","track","raceday","racemonth","raceyear","finish_time","predtime"
1,"GF",30,7.7,123,1139,7,"5",1800,"C","ST","Turf",1,1,2015,109.51,106.236552992028
1,"FT",29,12,122,1140,2,"5",1650,"-","ST","AWT",25,1,2015,99.96,100.281266496077
1,"GF",27,12,121,1124,8,"5",1600,"A","ST","Turf",15,2,2015,96.55,97.8797170991755
1,"G",17,23,111,1030,6,"5",1800,"B","HV","Turf",14,1,2015,111.2,107.673301179696
6,"G",44,37,120,1028,7,"4",1400,"C","ST","Turf",12,4,2015,82.84,83.6145922011971
4,"GF",44,31,117,1018,6,"4",1400,"B+2","ST","Turf",9,5,2015,84,83.0369912549569
4,"G",42,28,118,1022,12,"4",1400,"C","ST","Turf",16,5,2015,83.4,83.4915831957089
5,"GF",41,23,111,1012,1,"4",1400,"A","ST","Turf",31,5,2015,83.55,83.5389161752568
2,"GF",39,8.2,132,1009,11,"5",1400,"B+2","ST","Turf",14,6,2015,82.66,83.2765725775637
7,"GF",40,29,113,1022,8,"4",1400,"B+2","ST","Turf",12,7,2015,82.92,83.2531648627127
5,"GF",44,51,116,1114,8,"4",1600,"A+3","ST","Turf",18,1,2015,96.69,98.9517151273951
4,"G",42,49,108,1122,5,"4",1600,"A","ST","Turf",15,3,2015,97.1,98.9202623794446
1,"GF",40,16,133,1122,11,"5",1400,"B+2","ST","Turf",7,4,2015,83.26,82.2519827090825
4,"GF",41,16,104,1103,1,"4",1400,"C+3","ST","Turf",19,4,2015,84.19,83.1446615461004
5,"GF",41,28,109,1092,5,"4",1600,"A+3","ST","Turf",3,5,2015,96.5,98.7948725927561
1,"GF",39,12,133,1119,3,"5",1600,"A","ST","Turf",31,5,2015,95.46,98.3134662203697
1,"GF",39,13,133,1100,7,"5",2200,"B","HV","Turf",11,2,2015,139.26,127.463675173205
1,"GF",39,58,127,1103,7,"5",2000,"B+2","ST","Turf",1,3,2015,125.07,117.768894169318
2,"G",53,46,126,1083,12,"4",1000,"A","HV","Turf",7,1,2015,58.22,60.9770507907619
2,"G",51,10,122,1085,6,"4",1000,"C","HV","Turf",25,2,2015,57.76,60.8389939897691
2,"G",53,9.6,127,1075,7,"4",1000,"B","HV","Turf",11,3,2015,58.11,60.5624401546356
2,"GF",53,9.6,126,1072,4,"4",1000,"A","HV","Turf",1,4,2015,57.45,60.7370297066223
3,"GF",52,11,124,1076,4,"4",1000,"C+3","HV","Turf",29,4,2015,57.64,60.8314460047112
2,"G",50,11,116,1076,10,"4",1000,"C","ST","Turf",16,5,2015,57.43,60.7597955222112
2,"GF",48,18,121,1079,11,"4",1000,"A","ST","Turf",31,5,2015,57.03,61.8892946073046
